RACE,SepHash,CLevel,Plush
0.631849,0.980287,0.152585,0.284164
0.640875,0.98239,0.154765,0.287271
0.649902,0.982865,0.156944,0.29034
0.658928,0.981782,0.159122,0.293143
0.667954,0.980725,0.188188,0.296473
0.676981,0.984215,0.190731,0.299252
0.686007,0.980182,0.193275,0.302643
0.695034,0.985057,0.195818,0.306625
0.70406,0.982571,0.198361,0.309877
0.713086,0.984432,0.200904,0.313411
0.722113,0.983425,0.203447,0.316234
0.731139,0.983836,0.20599,0.31952
0.740166,0.984237,0.208533,0.321537
0.749192,0.983267,0.211076,0.32442
0.758219,0.983666,0.213619,0.326329
0.754175,0.982724,0.216162,0.329211
0.763047,0.985748,0.218705,0.330504
0.77192,0.984807,0.221249,0.332629
0.757563,0.98517,0.223792,0.335058
0.73344,0.982982,0.226332,0.337488
0.701711,0.985872,0.228875,0.339632
0.656443,0.986211,0.231418,0.341713
0.58363,0.986543,0.233961,0.343037
0.559318,0.985655,0.236504,0.345364
0.526994,0.987186,0.239048,0.347221
0.489888,0.98512,0.241591,0.350273
0.458291,0.986628,0.244134,0.353397
0.444722,0.983437,0.246677,0.356176
0.442298,0.987243,0.24922,0.358479
0.446811,0.985259,0.251763,0.361524
0.451325,0.985575,0.254306,0.36492
0.455838,0.989235,0.256849,0.367475
0.460351,0.986188,0.25939,0.369821
0.464864,0.988677,0.261933,0.372582
0.469378,0.985689,0.264476,0.375201
0.473891,0.987064,0.267019,0.377588
0.473887,0.986278,0.269562,0.379372
0.478358,0.98762,0.272105,0.380749
0.482828,0.987891,0.274648,0.382153
0.487299,0.98712,0.277191,0.384299
0.49177,0.98739,0.279734,0.384679
0.49624,0.986636,0.282277,0.386575
0.500711,0.987916,0.284821,0.388542
0.505181,0.987172,0.287364,0.39071
0.509652,0.988424,0.289907,0.39395
0.514123,0.989652,0.29245,0.396048
0.518593,0.985381,0.294993,0.397869
0.523064,0.98722,0.297536,0.399698
0.527535,0.98162,0.300079,0.402081
0.532005,0.982474,0.302622,0.404783
0.536476,0.979888,0.305165,0.407054
0.540947,0.97926,0.307708,0.409225
0.545417,0.973993,0.310251,0.412005
0.549888,0.979865,0.312795,0.414777
0.554358,0.98016,0.315338,0.417136
0.558829,0.976835,0.317881,0.419057
0.5633,0.979843,0.320424,0.421032
0.56777,0.980132,0.322967,0.422656
0.572241,0.980416,0.32551,0.423885
0.576712,0.975428,0.328053,0.425079
0.581182,0.980104,0.330596,0.427136
0.585653,0.980383,0.333139,0.428866
0.590123,0.978945,0.335682,0.429552
0.594594,0.977524,0.338225,0.431123
0.599065,0.982873,0.340768,0.433622
0.603535,0.979782,0.343312,0.436338
0.608006,0.979221,0.345855,0.438301
0.612477,0.979494,0.348398,0.439733
0.616947,0.981401,0.350941,0.441582
0.621418,0.980843,0.353484,0.443601
0.625889,0.980291,0.356027,0.444793
0.630359,0.98215,0.35857,0.447107
0.63483,0.982393,0.361113,0.449025
0.6393,0.980263,0.363656,0.449888
0.643771,0.982868,0.366199,0.452078
0.648242,0.983101,0.368742,0.455218
0.652712,0.983331,0.371286,0.455816
0.657183,0.981254,0.373829,0.457202
0.661654,0.983019,0.376372,0.459398
0.666124,0.984001,0.378915,0.461356
0.670595,0.982716,0.381458,0.461571
0.675065,0.981444,0.384001,0.463689
0.679536,0.981676,0.386544,0.464569
0.684007,0.984854,0.389087,0.466098
0.688477,0.982865,0.39163,0.468141
0.692948,0.981624,0.394173,0.469627
0.697419,0.983298,0.396716,0.470854
0.701889,0.982792,0.399259,0.472117
0.70636,0.982291,0.401803,0.474029
